,,max,min,average,median,fixed-cnt,unfixed-cnt
BAD_PRACTICE,HE_HASHCODE_USE_OBJECT_EQUALS,nan,nan,nan,nan,nan,26.0
BAD_PRACTICE,NP_BOOLEAN_RETURN_NULL,nan,nan,nan,nan,nan,13.0
BAD_PRACTICE,SE_BAD_FIELD,nan,nan,nan,nan,nan,236.0
BAD_PRACTICE,SE_INNER_CLASS,nan,nan,nan,nan,nan,25.0
BAD_PRACTICE,SE_TRANSIENT_FIELD_NOT_RESTORED,nan,nan,nan,nan,nan,11.0
CORRECTNESS,INT_BAD_COMPARISON_WITH_NONNEGATIVE_VALUE,93.0,93.0,93.0,93.0,1.0,9.0
CORRECTNESS,UMAC_UNCALLABLE_METHOD_OF_ANONYMOUS_CLASS,nan,nan,nan,nan,nan,2.0
DODGY_CODE,BC_UNCONFIRMED_CAST,nan,nan,nan,nan,nan,60.0
DODGY_CODE,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,nan,nan,nan,nan,nan,175.0
DODGY_CODE,CI_CONFUSED_INHERITANCE,nan,nan,nan,nan,nan,13.0
DODGY_CODE,DMI_NONSERIALIZABLE_OBJECT_WRITTEN,nan,nan,nan,nan,nan,8.0
DODGY_CODE,EQ_DOESNT_OVERRIDE_EQUALS,nan,nan,nan,nan,nan,13.0
DODGY_CODE,EQ_UNUSUAL,nan,nan,nan,nan,nan,24.0
DODGY_CODE,IA_AMBIGUOUS_INVOCATION_OF_INHERITED_OR_OUTER_METHOD,nan,nan,nan,nan,nan,4.0
DODGY_CODE,ICAST_INTEGER_MULTIPLY_CAST_TO_LONG,nan,nan,nan,nan,nan,2.0
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,nan,nan,nan,nan,nan,39.0
DODGY_CODE,RI_REDUNDANT_INTERFACES,196.0,1.0,17.96,1.0,25.0,21.0
DODGY_CODE,RV_RETURN_VALUE_IGNORED_NO_SIDE_EFFECT,240.0,240.0,240.0,240.0,1.0,3.0
DODGY_CODE,SF_SWITCH_FALLTHROUGH,226.0,226.0,226.0,226.0,1.0,37.0
DODGY_CODE,UC_USELESS_CONDITION,93.0,93.0,93.0,93.0,1.0,9.0
DODGY_CODE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,nan,nan,nan,nan,nan,5.0
DODGY_CODE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,nan,nan,nan,nan,nan,22.0
MALICIOUS_CODE,EI_EXPOSE_REP,nan,nan,nan,nan,nan,13.0
MALICIOUS_CODE,EI_EXPOSE_REP2,979.0,979.0,979.0,979.0,1.0,21.0
Multithreaded correctness,IS2_INCONSISTENT_SYNC,nan,nan,nan,nan,nan,12.0
Multithreaded correctness,UG_SYNC_SET_UNSYNC_GET,nan,nan,nan,nan,nan,4.0
PERFORMANCE,DM_NUMBER_CTOR,11.0,11.0,11.0,11.0,1.0,1.0
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC_ANON,nan,nan,nan,nan,nan,2.0
PERFORMANCE,URF_UNREAD_FIELD,nan,nan,nan,nan,nan,12.0
