categpry,vtype,priority,rank,project,origin commit,buggy commit,buggy path,buggy start,buggy end,fixer,fixer path,method,field,resolution,life_time,mark-vtype
CORRECTNESS,NP_NULL_ON_SOME_PATH,2,8,commons-digester,61421cbac85f093cd21709559aa4f6fc01d7e26f,8725ba6db84fce34907e5d5ca9e1ed6f6dc68cf3,src/main/java/org/apache/commons/digester3/CallMethodRule.java,443,443,25331d1b07599fa48df9d442666db96a69834c40,src/main/java/org/apache/commons/digester3/CallMethodRule.java,end(Ljava/lang/String;Ljava/lang/String;)V,paramTypes,fixed,19,TP
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC,2,18,commons-digester,f2a43e8afe6e4eb240f47a831dab86eca4c1f896,bb7f8f5e9eb084c317b4adb8536dd73bc99b9c6b,src/main/java/org/apache/commons/digester3/RegexRules.java,150,153,88bfc2945c68978002856bf4b6e550a7acc7a7a0,src/main/java/org/apache/commons/digester3/RegexRules.java,NO_METHOD,NO_FIELD,fixed,3,TP
PERFORMANCE,URF_UNREAD_FIELD,2,18,commons-digester,61421cbac85f093cd21709559aa4f6fc01d7e26f,fed2743a2e68493965a6bec977d460dff619aa67,src/main/java/org/apache/commons/digester3/SetNestedPropertiesRule.java,440,440,6a88863cf37c790924f7c9be5605889fe8f1fccc,src/main/java/org/apache/commons/digester3/SetNestedPropertiesRule.java,NO_METHOD,currChildNamespaceURI,fixed,18,TP
PERFORMANCE,UPM_UNCALLED_PRIVATE_METHOD,3,20,commons-digester,9802f87c3a438b61c7fecb43f05c461d643304cf,be7fa5556119b8b994fd88dbbfbe0222e058d581,src/main/java/org/apache/commons/digester3/RulesBinderImpl.java,116,121,809bde4da3e83bb60e893d465396105899d1c7d9,src/main/java/org/apache/commons/digester3/RulesBinderImpl.java,reportNotNull(Ljava/lang/String;)Lorg/apache/commons/digester3/rulesbinder/LinkedRuleBuilder;,NO_FIELD,fixed,0,TP
DODGY_CODE,REC_CATCH_EXCEPTION,3,20,commons-digester,f2a43e8afe6e4eb240f47a831dab86eca4c1f896,50feb1c19e55ef9a2850279220187f04246e6513,src/main/java/org/apache/commons/digester3/Digester.java,793,793,e46a01f67209763930a913029ebc77c15286170d,src/main/java/org/apache/commons/digester3/Digester.java,getParser()Ljavax/xml/parsers/SAXParser;,NO_FIELD,fixed,1,TP
BAD_PRACTICE,SE_BAD_FIELD_INNER_CLASS,3,19,commons-digester,d2daf93dccbc100aeebe602fbd07dbaa8a00bb76,f9135711ab78ea01b4f03c3cc5bc18495fe65f48,src/java/org/apache/commons/digester/xmlrules/DigesterRuleParser.java,89,104,56bfa1db0aa2e27f8944d207e2035a957029a1d7,src/java/org/apache/commons/digester/xmlrules/DigesterRuleParser.java,NO_METHOD,NO_FIELD,fixed,1,TP
PERFORMANCE,URF_UNREAD_FIELD,3,20,commons-digester,3f15ba239d3a106e8b695d42a2b13303b43c6fbf,81812f94022665b1e9cc07efa130ee7c2a901f8b,src/main/java/org/apache/commons/digester3/binder/LinkedRuleBuilder.java,45,45,cf5e5d60e5cce06e22960a74eaf7d08628175a3f,src/main/java/org/apache/commons/digester3/binder/LinkedRuleBuilder.java,NO_METHOD,classLoader,fixed,0,TP
PERFORMANCE,SS_SHOULD_BE_STATIC,2,18,commons-digester,6b8bbbd50346d1bc1167ccf09942478303ed36be,ccd9f6acbcabe67b56b811954183e57d5304db49,src/main/java/org/apache/commons/digester3/plugins/PluginContext.java,62,62,e4777779cae2487c72f62f1ff4f7f5c7c2890610,src/main/java/org/apache/commons/digester3/plugins/PluginContext.java,NO_METHOD,DFLT_PLUGIN_ID_ATTR,fixed,5,TP
PERFORMANCE,UPM_UNCALLED_PRIVATE_METHOD,3,20,commons-digester,ac0c5344653f658f21c2fcbdf1011f18b0b3da39,ac0c5344653f658f21c2fcbdf1011f18b0b3da39,src/main/java/org/apache/commons/digester3/RulesBinderImpl.java,437,448,f00308c13a0c41d660692d2172a8e2b6999771bd,src/main/java/org/apache/commons/digester3/RulesBinderImpl.java,addProvider(Lorg/apache/commons/digester3/spi/RuleProvider;)Lorg/apache/commons/digester3/spi/RuleProvider;,NO_FIELD,fixed,0,TP
CORRECTNESS,NP_GUARANTEED_DEREF,2,8,commons-digester,cb7ca847b4f16e4d11bf837e9700ac545343af2b,cb7ca847b4f16e4d11bf837e9700ac545343af2b,core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java,245,245,59d5e9cc17a5df75b3800e13da352f48d07ee7b1,core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java,invoke()V,NO_FIELD,fixed,0,TP
PERFORMANCE,URF_UNREAD_FIELD,2,18,commons-digester,c75edd1030901e7b8273202014918165f5e3e1a6,eebe3c03f9651c24a8e6e9964e09d1a69378d4d7,src/main/java/org/apache/commons/digester3/DigesterLoader.java,140,140,a30b916c11c28b5c2f78d262df8fa8d518570aef,src/main/java/org/apache/commons/digester3/DigesterLoader.java,NO_METHOD,substitutor,fixed,1,TP
CORRECTNESS,UWF_NULL_FIELD,3,15,commons-digester,6b8bbbd50346d1bc1167ccf09942478303ed36be,ccd9f6acbcabe67b56b811954183e57d5304db49,src/main/java/org/apache/commons/digester3/plugins/PluginContext.java,-1,-1,e4777779cae2487c72f62f1ff4f7f5c7c2890610,src/main/java/org/apache/commons/digester3/plugins/PluginContext.java,NO_METHOD,DFLT_PLUGIN_ID_ATTR_NS,fixed,5,TP
PERFORMANCE,URF_UNREAD_FIELD,2,18,commons-digester,988ba33c578d898ae3c5a89637daae5d1c879fc2,18e5639bb82695c0adbf0fc9aa41b8ccfccf178d,src/main/java/org/apache/commons/digester3/binder/LinkedRuleBuilder.java,40,40,3f15ba239d3a106e8b695d42a2b13303b43c6fbf,src/main/java/org/apache/commons/digester3/binder/LinkedRuleBuilder.java,NO_METHOD,namespaceURI,fixed,2,TP
MALICIOUS_CODE,EI_EXPOSE_REP2,2,18,commons-digester,75d8364771414b52179e7084cad838b6c0a0660a,f88cd3b647cae3983ba0ccf6c63b83d9696f702b,src/main/java/org/apache/commons/digester3/RecordedInvocation.java,51,51,971e5f1d2388f380bbce0f1ccae5f914227413a9,src/main/java/org/apache/commons/digester3/RecordedInvocation.java,<init>(Ljava/lang/reflect/Method;[Ljava/lang/Object;)V,arguments,fixed,5,TP
MALICIOUS_CODE,MS_SHOULD_BE_FINAL,1,16,commons-digester,6b8bbbd50346d1bc1167ccf09942478303ed36be,d347cd131f74015e3fcdfa026230fda73b58c58b,src/main/java/org/apache/commons/digester3/plugins/strategies/FinderFromResource.java,44,44,666bc463ac8f48845d9c7e2d9865b1bc8f183bf9,src/main/java/org/apache/commons/digester3/plugins/strategies/FinderFromResource.java,NO_METHOD,DFLT_RESOURCE_ATTR,fixed,6,TP
DODGY_CODE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,3,20,commons-digester,e868de3a3dfdf4105c6bd26049df137a32e88d7c,f1dde092df6848e264ab6d82fbb673afcc8ac544,src/main/java/org/apache/commons/digester3/binder/AbstractRulesModule.java,78,78,3b55f12f94eba9a897d82574a150bf1d248671e1,src/main/java/org/apache/commons/digester3/binder/AbstractRulesModule.java,install(Lorg/apache/commons/digester3/binder/RulesModule;)V,rulesBinder,fixed,1,TP
Multithreaded correctness,DC_DOUBLECHECK,2,14,commons-digester,b49f070b7458bf7a3e4b6f3775061a2264fdce12,7e1836c22f4497604ab6450726b8f366b306da06,src/main/java/org/apache/commons/digester3/ObjectCreateRule.java,274,277,06c38617a3b7e708688fdcf2f001c82f5d1a2f2a,src/main/java/org/apache/commons/digester3/ObjectCreateRule.java,createLazyProxy(Ljava/lang/reflect/Constructor;)Ljava/lang/Object;,proxyFactory,fixed,25,TP
PERFORMANCE,URF_UNREAD_FIELD,3,20,commons-digester,6b8bbbd50346d1bc1167ccf09942478303ed36be,6b8bbbd50346d1bc1167ccf09942478303ed36be,src/main/java/org/apache/commons/digester3/xmlrules/FromXmlRulesModule.java,46,46,fa658c47c6fe57fd8d13be4f409b2e9250c492e4,src/main/java/org/apache/commons/digester3/xmlrules/FromXmlRulesModule.java,NO_METHOD,xmlRulesDtdUrl,fixed,0,TP
MALICIOUS_CODE,MS_SHOULD_BE_FINAL,1,16,commons-digester,6b8bbbd50346d1bc1167ccf09942478303ed36be,a285ed1de33de7a3f1b71e9017f475337c03f572,src/main/java/org/apache/commons/digester3/plugins/strategies/FinderSetProperties.java,46,46,ebfe8de94c603ea2de39e97347a4cb396ad92533,src/main/java/org/apache/commons/digester3/plugins/strategies/FinderSetProperties.java,NO_METHOD,DFLT_PROPS_ATTR,fixed,6,TP
