categpry,vtype,priority,rank,project,origin commit,buggy commit,buggy path,buggy start,buggy end,fixer,fixer path,method,field,resolution,life_time,mark-vtype
BAD_PRACTICE,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,2,16,maven-dependency-plugin,b5b41caf15e06c3bf46cb90266307860db0dbda0,7613b52545f8b921dbb0bb7960c665d8cf7375ac,src/main/java/org/apache/maven/plugins/dependency/utils/markers/SourcesFileMarkerHandler.java,154,154,197fbb03c49a7f23b777670aff5561bb942f594c,src/main/java/org/apache/maven/plugins/dependency/utils/markers/SourcesFileMarkerHandler.java,setMarker()V,NO_FIELD,fixed,10,TP
CORRECTNESS,RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE,2,11,maven-dependency-plugin,54d95f7b21b47c7318a84f9a296ba9caa0889ac7,54d95f7b21b47c7318a84f9a296ba9caa0889ac7,src/main/java/org/apache/maven/plugin/dependency/fromDependencies/BuildClasspathMojo.java,332,332,07369da348fe55dd8e4907367c62a5d72380e47d,src/main/java/org/apache/maven/plugin/dependency/fromDependencies/BuildClasspathMojo.java,isUpdToDate(Ljava/lang/String;)Z,NO_FIELD,fixed,1,TP
DODGY_CODE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,1,16,maven-dependency-plugin,b308ef3f57fa21b6987b2a51ef99782fb0242f5c,c5751705d9e618971b63f0c0bcd6af84e79e6048,src/main/java/org/apache/maven/plugin/dependency/BuildClasspathMojo.java,415,415,49e5bc8230e6ba4eb705512701fb4148322cf65b,src/main/java/org/apache/maven/plugin/dependency/BuildClasspathMojo.java,compare(Ljava/lang/Object;Ljava/lang/Object;)I,NO_FIELD,fixed,32,TP
I18N,DM_DEFAULT_ENCODING,1,19,maven-dependency-plugin,af98e585a57d5405902b32a722f91a2073971cd5,814664b397324cc80202b3f923248cb0a1212baa,src/main/java/org/apache/maven/plugins/dependency/utils/DependencyUtil.java,231,231,a3f10c51381fafcfdae9560e1135bea5ae5363ac,src/main/java/org/apache/maven/plugins/dependency/utils/DependencyUtil.java,write(Ljava/lang/String;Ljava/io/File;ZLorg/apache/maven/plugin/logging/Log;)V,NO_FIELD,fixed,120,TP
I18N,DM_DEFAULT_ENCODING,1,19,maven-dependency-plugin,b308ef3f57fa21b6987b2a51ef99782fb0242f5c,d06a09e42a15ab9fea6ff1b35755d16a6b6a89a5,src/main/java/org/apache/maven/plugin/dependency/BuildClasspathMojo.java,334,334,ea0eadc1ffb267142384e59e1e1f52cb47d1f83b,src/main/java/org/apache/maven/plugin/dependency/BuildClasspathMojo.java,storeClasspathFile(Ljava/lang/String;Ljava/io/File;)V,NO_FIELD,fixed,45,TP
DODGY_CODE,UC_USELESS_CONDITION,1,14,maven-dependency-plugin,78be8140011c511bad2d7cbcb0cdafe47cb9f102,47c7410405e9b0989ed3d0dbed4740528ef006cd,src/main/java/org/apache/maven/plugin/dependency/GetMojo.java,170,170,c0363b00d538969ff0cb455849938ef7df1ce1ad,src/main/java/org/apache/maven/plugin/dependency/GetMojo.java,execute()V,NO_FIELD,fixed,112,TP
CORRECTNESS,MF_CLASS_MASKS_FIELD,2,8,maven-dependency-plugin,22887ed6f2aa04c2ccb79dd5c4a17cf6dc12d983,de601ea3c3e2b880229755b502f0b24c83d2b942,src/main/java/org/apache/maven/plugin/dependency/fromConfiguration/AbstractFromConfigurationMojo.java,-1,-1,2f1df570bfdc3bff516fa9bf7678aec50e883b04,src/main/java/org/apache/maven/plugin/dependency/fromConfiguration/AbstractFromConfigurationMojo.java,NO_METHOD,reactorProjects,fixed,6,TP
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC,2,18,maven-dependency-plugin,30f058f420f51fa782f2acc30cd7212d82905663,b32fcc3e58699e94b8deec80791013c69d7e7676,src/main/java/org/apache/maven/plugins/dependency/PurgeLocalRepositoryMojo.java,298,310,05e4193ce41d507c2457c2769ce9593635c1d768,src/main/java/org/apache/maven/plugins/dependency/PurgeLocalRepositoryMojo.java,NO_METHOD,NO_FIELD,fixed,807,TP
CORRECTNESS,NP_UNWRITTEN_FIELD,2,8,maven-dependency-plugin,b308ef3f57fa21b6987b2a51ef99782fb0242f5c,6401e35e890d495aadaeacd934ae381e900d6e4b,src/main/java/org/apache/maven/plugin/dependency/AnalyzeDuplicateMojo.java,67,67,d06a09e42a15ab9fea6ff1b35755d16a6b6a89a5,src/main/java/org/apache/maven/plugin/dependency/AnalyzeDuplicateMojo.java,execute()V,project,fixed,45,TP
I18N,DM_DEFAULT_ENCODING,1,19,maven-dependency-plugin,af98e585a57d5405902b32a722f91a2073971cd5,814664b397324cc80202b3f923248cb0a1212baa,src/main/java/org/apache/maven/plugins/dependency/fromDependencies/BuildClasspathMojo.java,369,369,a3f10c51381fafcfdae9560e1135bea5ae5363ac,src/main/java/org/apache/maven/plugins/dependency/fromDependencies/BuildClasspathMojo.java,readClasspathFile()Ljava/lang/String;,NO_FIELD,fixed,120,TP
